Position,Track Name,Artist,Streams,URL,country
68,"Em Không Sai, Chúng Ta Sai",ERIK,52270,https://open.spotify.com/track/3yWacnoBnM0lrzLmXAk44d,Vietnam
69,Vùng Ký Ức,Chillies,52033,https://open.spotify.com/track/1503Da6qbgNifRnRwIjtZe,Vietnam
70,Señorita,Shawn Mendes,52001,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,Vietnam
71,Mad at Disney,salem ilese,51564,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,Vietnam
72,Em Bé,AMEE,49695,https://open.spotify.com/track/4RZJObXQzsKQLd25LBjBG8,Vietnam
73,We're Good,Dua Lipa,49694,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh,Vietnam
74,Someone You Loved,Lewis Capaldi,49622,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,Vietnam
75,Trời hôm nay nhiều mây cực!,Đen,49576,https://open.spotify.com/track/703QXwWn5KdNaoviarYHAO,Vietnam
76,Lonely (with benny blanco),Justin Bieber,49264,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q,Vietnam
77,Yêu 5,Rhymastic,49232,https://open.spotify.com/track/5U30iZBlmxkpHqzb1OSnBS,Vietnam
78,Blue & Grey,BTS,48988,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl,Vietnam
79,Lovesick Girls,BLACKPINK,48638,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,Vietnam
80,Đông Kiếm Em,Vũ.,48527,https://open.spotify.com/track/0B1ZnYwYefkNhZeE8ZQpv5,Vietnam
81,Boy With Luv (feat. Halsey),BTS,48166,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,Vietnam
82,Chẳng Thể Tìm Được Em,PhucXP,47917,https://open.spotify.com/track/6Bwfp26rlqnG7RKAYin4Ru,Vietnam
83,Blue Tequila,Táo,47745,https://open.spotify.com/track/4Ba99csVDlRFQILO5cSi7I,Vietnam
84,Mood (feat. iann dior),24kGoldn,47589,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Vietnam
85,Tình Nào Không Như Tình Đầu,Trung Quan,47432,https://open.spotify.com/track/5HaKldnT9gWe70hr8bstmh,Vietnam
86,Làm Gì Phải Hốt,JustaTee,47170,https://open.spotify.com/track/2FWBdovgRvBSzA1JESUe0D,Vietnam
87,test drive,Ariana Grande,46491,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw,Vietnam
88,I Love You 3000,Stephanie Poetri,46134,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc,Vietnam
89,Phố Không Em,Thái Đinh,45320,https://open.spotify.com/track/3WkvZbY9jVVIfBGhrcnVAL,Vietnam
90,Gene,Binz,44733,https://open.spotify.com/track/1yNHcXf3122hM5UJ0UWz4V,Vietnam
91,Blinding Lights,The Weeknd,44698,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,Vietnam
92,Love Story (Taylor’s Version),Taylor Swift,44601,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf,Vietnam
93,Roses,Finn Askew,44116,https://open.spotify.com/track/7h5JV2j5wEwMP2hQE12Nk4,Vietnam
94,Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,43968,https://open.spotify.com/track/1U8bwOTAtnqlWMCn1mwYyj,Vietnam
95,Em Đã Thương Người Ta Hơn Anh,Noo Phước Thịnh,43834,https://open.spotify.com/track/39t3ly1KisXk4u57D6fKSE,Vietnam
96,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,43120,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc,Vietnam
97,Astronaut In The Ocean,Masked Wolf,43113,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh,Vietnam
98,Telepathy,BTS,42418,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne,Vietnam
99,Bật Nhạc Lên,HIEUTHUHAI,42349,https://open.spotify.com/track/7AS3f6iaLQ4NZCMZKuhWmy,Vietnam
100,Fly To My Room,BTS,41996,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS,Vietnam
101,comethru,Jeremy Zucker,41351,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP,Vietnam
102,Pretty Savage,BLACKPINK,41256,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,Vietnam
103,trời giấu trời mang đi,AMEE,41002,https://open.spotify.com/track/1ecVks3GJX8U67DvhVDVBn,Vietnam
104,Nơi Này Có Anh,Sơn Tùng M-TP,40957,https://open.spotify.com/track/5HbLlcJogki9rRq2KfkGQP,Vietnam
105,Stay,BTS,40905,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz,Vietnam
106,Duyen Am,Hoang Thuy Linh,40798,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS,Vietnam
107,Đúng Cũng Thành Sai,Mỹ Tâm,40743,https://open.spotify.com/track/33weHbON0j21ZPUMc0ZKTt,Vietnam
108,Let Me Down Slowly,Alec Benjamin,40526,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,Vietnam
109,Yếu Đuối,Hoang Dung,39759,https://open.spotify.com/track/7LUyhsof4Pwb6qJFNam0dA,Vietnam
110,"Sau Nay, Hay Gap Lai Nhau Khi Hoa No",Nguyen Ha,39636,https://open.spotify.com/track/6F61DTypUBPZiZqgd76Sjn,Vietnam
111,Dis-ease,BTS,39353,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0,Vietnam
112,Âm Thầm Bên Em,Sơn Tùng M-TP,38917,https://open.spotify.com/track/1Huy9G87D6pbIveFulsH0P,Vietnam
113,Nến Và Hoa,Rhymastic,38916,https://open.spotify.com/track/4S0uLMXRoAjFfIJOW7A8aW,Vietnam
114,Ice Cream (with Selena Gomez),BLACKPINK,38435,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,Vietnam
115,Chán Gái 707,Low G,38348,https://open.spotify.com/track/672opkM0hHxsbnLCQsrEvD,Vietnam
116,Đi Qua Mùa Hạ,Thái Đinh,38320,https://open.spotify.com/track/26KyYm1DSOiDJQNj7Sc4bM,Vietnam
117,Ai Đưa Em Về,Tia,38113,https://open.spotify.com/track/4iDyFW4a7iCJh2VqSpwGQz,Vietnam
118,Nhắm Mắt Thấy Mùa Hè,Nguyen Ha,37816,https://open.spotify.com/track/7KiVghFxUSJjrSQXlb9tdh,Vietnam
119,sao anh chưa về nhà,AMEE,37637,https://open.spotify.com/track/0vB6E5gTZtnpodQCCW29JN,Vietnam
120,telepatía,Kali Uchis,37374,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B,Vietnam
121,Play Date,Melanie Martinez,37186,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,Vietnam
122,Tomboy,Destiny Rogers,36601,https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng,Vietnam
123,1 Phút,Andiez,36525,https://open.spotify.com/track/7JVxQjXcMlIwHuwrq7AY8E,Vietnam
124,Dancing in My Room,347aidan,36484,https://open.spotify.com/track/6Pgmqg15yVexuOgtzuxwoX,Vietnam
125,Ghé Qua,TaynguyenSound,36465,https://open.spotify.com/track/2Ti4hlta29bCeyrfqVSyQr,Vietnam
126,SO FAR,Binz,36262,https://open.spotify.com/track/5GXCpnyiCviIiAiZn13tzn,Vietnam
127,Thiên Đàng,Wowy,36230,https://open.spotify.com/track/0b3N9S5FHJ4h9k7IsKDVSy,Vietnam
128,Có Người,Vu Cat Tuong,36170,https://open.spotify.com/track/5pf3f5rhtUnZ1PeTcHKVdz,Vietnam
129,Liệu Giờ,2T,35705,https://open.spotify.com/track/6uMNe8s4p6DbVwzkbAK2qu,Vietnam
130,Ngày Mai Em Đi,Lê Hiếu,35418,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5,Vietnam
131,Dancing With Your Ghost,Sasha Sloan,35387,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,Vietnam
132,7 rings,Ariana Grande,35228,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,Vietnam
133,So Close,Binz,35059,https://open.spotify.com/track/1C7aNWtuAK07clP7lOQnno,Vietnam
134,Let's Fall in Love for the Night,FINNEAS,34627,https://open.spotify.com/track/3n5te2xbUAPjzAnhLgA42z,Vietnam
135,Hai Triệu Năm,Đen,34539,https://open.spotify.com/track/2qnnREp8mFVipaEoUlw9ya,Vietnam
136,So Rang Em Biet Anh Con Yeu Em,JUUN D,34409,https://open.spotify.com/track/5TkvKPd7Bxv4xfU6cq6GGd,Vietnam
137,Up,Cardi B,34236,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi,Vietnam
